battery,bus,cpu_brand_modifier,cpu_generation,cpu_manufacturer,cpu_speed,gpu_manufacturer,manufacturer,price,ram,ram_type,screen_resolution,screen_size,storage,weight
"3S1P,",8448MHz,EliteX1E,X,Snapdragon,"3.4GHz,",Qualcomm,Asus,34.990.000,32GB,LPDDR5X,2880 x 1620,15.6,1TB,1.42 kg
47Wh,5600MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,Lenovo,28.690.000,16GB,DDR5,1920x1200,14,1TB,1.44 kg
69.5Whr,7467MHz,Ultra7,155H,Intel,"4.80GHz,",NVIDIA®,Dell,60.990.000,32GB,LPDDR5x,1920 x 1200,14.5,2TB,1.68 kg
47Wh,5600MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,Lenovo,33.490.000,32GB,DDR5,2240x1400,14,1TB,1.44 kg
57Wh,4800MHz,i5,1335U,Intel,"4.60GHz,",Intel®,Lenovo,27.490.000,16GB,LPDDR5x,1920x1200,14,512GB,1.25 kg
42WHrs,3200MHz,i3,1315U,Intel,"4.50GHz,",Intel,Asus,12.690.000,8GB,DDR4,1920 x 1080,14,512GB,1.4 kg
54WHrs,5200MHz,5,120U,Intel,"5.00GHz,",Integrated,Dell,24.790.000,16GB,DDR5,1920 x 1200,16.0,1TB,Ice Blue (Xanh)
45Wh,5200MHz,i7,1355U,Intel,"5.00GHz,",Intel®,Lenovo,21.990.000,16GB(2x,DDR5,1920x1200,14.0,512GB,1.38 kg
41WHrs,2666MHz,i3,1215U,Intel,"4.40GHz,",Intel,Dell,12.990.000,8GB,DDR4,1920 x 1080,15.6,512GB,1.65 kg
41Wh,,i5,1235U,Intel,"4.40GHz,",Intel,Dell,15.590.000,8GB,DDR4,1920 x 1080,15.6,512GB,1.85 kg
65Whrs,,Ultra7,258V,Intel,"4.80GHz,",Intel®,Acer,39.990.000,32GB,LPDDR5X,2880×1880,14,1TB,1.26 kg
54Wh,5600MHz,Ultra7,165U,Intel,"4.90GHz,",Intel®,Dell,32.490.000,16GB,DDR5,1920x1080,15.6,512GB,1.62 kg
41WHrs,2666MHz,i5,1335U,Intel,"4.60GHz,",Intel,Dell,16.990.000,8GB,DDR4,1920x1080,14.0,512GB,Titan Grey (Xám)
41Wh,,i5,1235U,Intel,"4.40GHz,",Intel,Dell,16.990.000,16GB,DDR4,1920 x 1080,15.6,512GB,1.90 kg
