Battery (WHrs),Bus (MHz),CPU Brand Modifier,CPU Generation,CPU Manufacturer,CPU Speed (GHz),GPU Manufacturer,Manufacturer,RAM (GB),RAM Type,Screen Resolution,Screen Size (Inches),Storage (GB),Weight (kg),Price
75,5600,Ultra5,125.0,Intel,4.50,Nvidia,Lenovo,32,DDR5,1920x1200,14.5,1024.0,1.61,40490000
59,6400,5,8640.0,AMD,4.90,Amd,HP,16,LPDDR5,2880x1800,14.0,1024.0,,30390000
70,5200,7,12700.0,Intel,4.70,Nvidia,Lenovo,16,LPDDR5,3072x1920,14.5,512.0,1.45,26990000
56,5600,Ultra7,155.0,Intel,4.80,Intel,HP,16,DDR5,1920x1200,16.0,512.0,1.75,28990000
56,5600,Ultra7,155.0,Intel,4.80,Intel,HP,16,DDR5,1920x1200,14.0,512.0,1.39,32490000
63,,Ultra5,226.0,Intel,4.50,Intel,ASUS,16,LPDDR5X,2560x1600,14.0,1024.0,1.27,29490000
56,5600,Ultra7,155.0,Intel,4.80,Intel,HP,16,DDR5,1920x1200,14.0,512.0,1.39,30990000
90,7467,Ultra7,155.0,Intel,4.80,Nvidia,LG,16,LPDDR5X,2560x1600,17.0,1024.0,1.378,48990000
52.5,5600,Ultra5,125.0,Intel,4.50,Intel,Lenovo,16,DDR5,2240x1400,14.0,512.0,1.38,31990000
,7500,AI9,,AMD,5.00,Amd,MSI,32,LPDDR5x,3840x2400,16.0,1024.0,,40990000
77,7467,Ultra7,155.0,Intel,4.80,Intel,LG,16,LPDDR5X,2560x1600,16.0,512.0,1.397,38990000
54.7,6400,Ultra7,155.0,Intel,4.80,Intel,Lenovo,16,LPDDR5x,1920x1200,13.3,512.0,1.17,40990000
52.5,4266,5,7430.0,AMD,4.30,Amd,Lenovo,16,LPDDR4x,1920x1200,14.0,512.0,1.55,16990000
52.5,4266,7,7730.0,AMD,4.50,Amd,Lenovo,16,LPDDR4x,1920x1200,14.0,512.0,1.55,18990000
56,7500,Ultra7,155.0,Intel,4.80,Intel,HP,16,LPDDR5x,1920x1200,13.3,512.0,,47990000
52.5,5600,Ultra7,155.0,Intel,4.80,Intel,Lenovo,16,DDR5,1920x1200,14.0,512.0,1.36,34490000
1.46,6400,7,8745.0,AMD,4.90,Amd,Lenovo,24,LPDDR5X,2880x1800,14.0,1024.0,,22990000
43,3200,7,150.0,Intel,5.40,Intel,HP,16,DDR4,1920x1080,14.0,512.0,1.52,21990000
41,2666,5,1334.0,Intel,4.60,Intel,Dell,16,DDR4,1920x1080,15.6,512.0,1.62,19290000
41,3200,5,1334.0,Intel,4.60,Intel,Dell,16,DDR4,1920x1080,15.6,512.0,1.62,19290000
75,5600,Ultra7,155.0,Intel,4.80,Nvidia,ASUS,16,DDR5,1920x1080,15.6,1024.0,,28990000
54,,7,1355.0,Intel,5.00,Intel,Dell,16,DDR4,1920x1080,15.6,512.0,1.62,22390000
41,3200,5,1334.0,Intel,4.60,Intel,Dell,8,DDR4,1920x1080,15.6,512.0,1.62,17990000
,7647,Ultra5,125.0,Intel,4.50,Intel,Lenovo,16,LPDDR5x,2560x1600,14.0,512.0,,22990000
41,3200,5,1334.0,Intel,4.60,Intel,Dell,8,DDR4,1920x1080,15.6,512.0,1.62,17990000
59,6400,Ultra7,155.0,Intel,4.80,Intel,HP,16,LPDDR5,2880x1800,14.0,1024.0,,36990000
68,7467,Ultra7,155.0,Intel,4.80,Intel,HP,16,LPDDR5x,2880x1800,14.0,1024.0,1.36,55990000
58,4800,Ultra5,125.0,Intel,4.30,Intel,Acer,16,DDR5,1920x1200,14.0,512.0,1.27,19990000
54.7,6400,Ultra7,155.0,Intel,4.80,Intel,Lenovo,16,LPDDR5x,1920x1200,13.3,512.0,1.17,36690000
58,6400,Ultra5,125.0,Intel,4.30,Intel,Lenovo,16,LPDDR5x,1920x1200,14.0,512.0,1.24,31290000
