Title,Now Price,Link,Manufacturer,html_file,CPU manufacturer,CPU,CPU Speed (GHz),RAM (GB),RAM Type,Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,GPU,Weight (kg),Battery,Charging
"Laptop HP ProBook 440 G10 i5-1340P/16GB/512GB/14""FHD Touch/Intel Graphics/Win11_9H8U7PT",21.590.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/hp-probook-440-g10-i5-1340p-9h8u7pt,hp,data/laptop_html/hp+19.html,Intel,1340P,1.9 ,16 GB (1 thanh 16 GB),DDR4,512 ,14 inch,1920 x 1080 Pixels,60 ,Intel,Iris Xe,1.38 kg,51 WHrs,65 W
"Laptop HP Gaming Victus 16-s0078AX R5-7640HS/16GB/512GB/16.1""FHD/Nvidia RTX3050 6GB/Win11",22.690.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/hp-gaming-victus-16-s0078ax-r5-7640hs,hp,data/laptop_html/hp+20.html,AMD,7640HS,4.30 Ghz,16 GB (2 thanh 8 GB),DDR5,512 GB,16.0 inch,1920 x 1080 Pixels,144 Hz,NVIDIA,GeForce RTX 3050,2.31 kg,4 Cell,NA
Laptop HP Envy X360 14-fc0084TU Core Ultra 7-155U/AI/32GB/1TB/14'' Touch 2.8K OLED/Pen/Win11,32.990.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/hp-envy-x360-14-fc0084tu-u7-155u,hp,data/laptop_html/hp+21.html,Intel,155U,0.7 ,32 GB (2 thanh 16 GB),LPDDR5,1 ,14 inch,2880 x 1800 Pixels Màn hình chính:,120 ,Intel,NA,1.37 kg,59 Wh,65 W
Laptop HP Envy x360 14-fc0158TU Core Ultra 7-155U/AI/16GB/512GB/14'' Touch 2.8K OLED/Pen/Win11/Office HS21,30.990.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/hp-envy-x360-14-fc0158tu-core-ultra-7-155u,hp,data/laptop_html/hp+22.html,Intel,155U,0.7 ,16 GB (2 thanh 8 GB),LPDDR5,512 ,14 inch,2880 x 1800 Pixels Màn hình chính:,120 ,Intel,NA,1.39 kg,59 Wh,65 W
"Laptop HP ProBook 440 G10 i7-1360P/16GB/512GB/14"" FHD Touch/Intel Graphics/Win11_Bạc_9H8V2PT",25.490.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/hp-probook-440-g10-core-i7-1360p-9h8v2pt,hp,data/laptop_html/hp+23.html,Intel,1360P,2.2 ,16 GB (1 thanh 16 GB),DDR4,512 ,14 inch,1920 x 1080 Pixels,60 ,Intel,Iris Xe,1.38 kg,51 WHrs,65 W
Laptop HP Pavilion 15-eg3095TU i5 1335U/8GB/512GB/15.6'FHD/Win11,16.490.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/hp-pavilion-15-eg3095tu-i5-1335u,hp,data/laptop_html/hp+24.html,Intel,1335U,3.30 Ghz,8 GB (2 thanh 4 GB),NA,512 GB,15.6 inch,FHD (1920 x 1080),Hãng không công bố,NA,NA,1.69 kg,3 Cell,NA
"Laptop HP 245 G10 R5 7520U/8GB/256GB/14""FHD/Win11 (8F154PA)",9.690.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/hp-245-g10-r5-7520u,hp,data/laptop_html/hp+25.html,AMD,7520U,4.30 Ghz,8 GB,NA,256 GB,14.0 inch,1920 x 1080 Pixels,60 Hz,AMD,Radeon,1.36 kg,3 Cell,NA
Laptop HP Spectre X360 14-eu0050TU Ultra 7-155H/AI/32GB/1TB/14'' Touch 2.8K OLED/Intel Arc Graphics/Win11,51.990.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/hp-spectre-x360-14-eu0050tu-ultra-7-155h,hp,data/laptop_html/hp+26.html,Intel,155H,1.4 ,32 GB (1 thanh 32 GB),LPDDR5,1 ,14 inch,2880 x 1800 Pixels,120 ,Intel,ARC,1.465 kg,4 Cell,65 W
Laptop HP Envy x360 14-fc0155TU Core Ultra 7-155U/AI/16GB/1TB/14'' Touch 2.8K OLED/Pen/Win11/Office HS21,Hàng sắp về,https://fptshop.com.vn//may-tinh-xach-tay/hp-envy-x360-14-fc0155tu-core-ultra-7-155u,hp,data/laptop_html/hp+27.html,Intel,155U,0.7 ,16 GB (2 thanh 8 GB),LPDDR5,1 ,14 inch,2880 x 1800 Pixels Màn hình chính:,120 ,Intel,NA,1.39 kg,59 Wh,65 W
Laptop HP Envy X360 14-fa0093AU R7-8840HS/AI/32GB/512GB/14'' Touch 2.8K OLED/Pen/Win11/Office HS21,Hàng sắp về,https://fptshop.com.vn//may-tinh-xach-tay/hp-envy-x360-14-fa0093au-r7-8840hs-ay8u3pa,hp,data/laptop_html/hp+28.html,AMD,8840HS,3.3 ,32 GB (2 thanh 16 GB),LPDDR5,512 ,14 inch,2880 x 1800 Pixels Màn hình chính:,120 ,AMD,Radeon,1.39 kg,59 Wh,65 W
