Title,Now Price,Link,Manufacturer,html_file,CPU manufacturer,CPU,CPU Speed (GHz),RAM (GB),RAM Type,Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,GPU,Weight (kg),Battery,Charging
"Laptop Lenovo Gaming LOQ 15AHP9 R7 8845HS/AI/16GB/512GB/15.6""FHD/RTX4060 8GB/Win 11",31.990.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/lenovo-gaming-loq-15ahp9-r7-8845hs,lenovo,data/laptop_html/lenovo+18.html,AMD,8845HS,3.8 ,16 GB (1 thanh 16 GB),DDR5,512 ,15.6 inch,1920 x 1080 Pixels,144 ,NVIDIA,GeForce RTX 4060,2.38 kg,60 Wh,230 W
"Laptop Lenovo Ideapad Slim 3 - 15ABR8 R5 7430U/16GB/512GB/15.6""FHD/Win 11",11.490.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/lenovo-ideapad-slim-3-15abr8-r5-7430u,lenovo,data/laptop_html/lenovo+19.html,AMD,7430U,2.3 ,16 GB (1 thanh 16 GB),DDR4,512 ,15.6 inch,1920 x 1080 Pixels,60 ,AMD,Radeon,1.62 kg,47 Wh,65 W
"Laptop Lenovo Gaming LOQ 15IAX9 i5 12450HX/AI/12GB/512GB/15.6""FHD/RTX4050_6GB/W11_83GS001QVN",24.990.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/lenovo-gaming-loq-15iax9-i5-12450hx-83gs001qvn,lenovo,data/laptop_html/lenovo+20.html,Intel,12450HX,2.4 ,12 GB (1 thanh 12GB),DDR5,512 ,15.6 inch,1920 x 1080 Pixels,144 ,NVIDIA,GeForce RTX 4050,2.38 kg,60 Wh,170 W
"Laptop Lenovo Gaming Legion 5 16IRX9 i7 14650HX/AI/32GB/1TB/16""WQXGA/RTX4060 8GB/Win 11",43.990.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/lenovo-gaming-legion-5-16irx9-i7-14650hx-32gb,lenovo,data/laptop_html/lenovo+21.html,Intel,14650HX,2.2 ,32 GB (2 thanh 16 GB),DDR5,1 ,16 inch,2560 x 1600 Pixels,165 ,NVIDIA,GeForce RTX 4060,2.3 kg,80 WHrs,230 W
"Laptop Lenovo Yoga Slim 7 14IMH9 Ultra 7 155H/AI/32GB/512GB/14"" WUXGA/Win11",29.990.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/lenovo-yoga-slim-7-14imh9-ultra-7-155h,lenovo,data/laptop_html/lenovo+22.html,Intel,155H,1.4 ,32 GB (2 thanh 16 GB),DDR5,512 ,14 inch,1920 x 1200 Pixels,60 ,Intel,ARC,1.39 kg,65 Wh,65 W
"Laptop Lenovo Gaming Legion Pro 5 16IRX9 i9-14900HX/AI/32GB/1TB/16"" WQXGA/RTX4070 8GB/Win 11",51.190.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/lenovo-gaming-legion-pro-5-16irx9-i9-14900hx-83df0046vn,lenovo,data/laptop_html/lenovo+23.html,Intel,14900HX,2.2 ,32 GB (2 thanh 16 GB),DDR5,1 ,16 inch,2560 x 1600 Pixels,240 ,NVIDIA,GeForce RTX 4070,2.5 kg,800 Wh,300 W
"Laptop Lenovo Yoga Slim 6 14IRH8 i7 13700H/16GB/512GB/14""WUXGA OLED/Win11/Office HS21",24.990.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/lenovo-yoga-slim-6-14irh8-i7-13700h,lenovo,data/laptop_html/lenovo+24.html,Intel,13700H,2.4 ,16 GB,DDR5,512 ,14 inch,1920 x 1200 Pixels,60 Hz,Intel,Iris Xe,1.35 kg,65 Wh,NA
"Laptop Lenovo ThinkBook 16 G6 IRL i5-13420H/16GB/512GB/16.0""WUXGA/Win 11",16.990.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/lenovo-thinkbook-16-g6-irl-i5-13420h-21kh00q0vn,lenovo,data/laptop_html/lenovo+25.html,Intel,13420H,2.1 ,16 GB (2 thanh 8 GB),DDR5,512 ,16 inch,1920 x 1200 Pixels,60 ,Intel,UHD,1.7 kg,71 Wh,100 W
"Laptop Lenovo Yoga Slim 7 14IMH9 ULTRA 7 155H/AI/32GB/1TB/14"" WUXGA/Win 11",29.490.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/lenovo-yoga-slim-7-14imh9-ultra-7-155h-32gb,lenovo,data/laptop_html/lenovo+26.html,Intel,155H,1.4 ,32 GB (1 thanh 32 GB),LPDDR5X,1 ,14 inch,1920 x 1200 Pixels,60 ,Intel,ARC,1.39 kg,65 Wh,65 W
"Laptop Lenovo Gaming Legion 7 - 16IRX9 i9 14900HX/AI/32GB/1TB/16"" 3.2K/RTX4070_8GB/Win 11",62.990.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/lenovo-gaming-legion-7-16irx9-i9-14900hx-83fd004mvn,lenovo,data/laptop_html/lenovo+27.html,Intel,14900HX,1.6 ,32 GB (2 thanh 16 GB),DDR5,1 ,16 inch,3200 x 2000 Pixels,165 ,NVIDIA,GeForce RTX 4070,2.24 kg,99.9 Wh,230 W
"Laptop Lenovo Gaming LOQ - 15IAX9 i5 12450HX/AI/16GB/512GB/15.6""FHD/RTX 2050 4GB/Win11",19.490.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/lenovo-gaming-loq-15iax-9-i5-12450hx,lenovo,data/laptop_html/lenovo+28.html,Intel,12450HX,2 ,16 GB (2 thanh 8 GB),DDR5,512 ,15.6 inch,1920 x 1080 Pixels,144 ,NVIDIA,Geforce RTX 2050,2.38 kg,60 Wh,135 W
"Laptop Lenovo Gaming Legion 5 15IRX9 i7 13650HX/AI/24GB/512GB/15.6""FHD/RTX4060 8GB/Win11",36.990.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/lenovo-gaming-legion-5-15irx9-83jj000fvn,lenovo,data/laptop_html/lenovo+29.html,Intel,13650HX,1.9 ,24 GB (2 thanh 12GB),DDR5,512 ,15.6 inch,1920 x 1080 Pixels,144 ,NVIDIA,GeForce RTX 4060,2.32 kg,60 Wh,230 W
"Laptop Lenovo Gaming LOQ - 15IAX9 i5 12450HX/AI/12GB/512GB/15.6""FHD/RTX2050 4GB/Win11",18.990.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/lenovo-gaming-loq-15iax9-i5-12450hx-83gs001svn,lenovo,data/laptop_html/lenovo+30.html,Intel,12450HX,NA,12 GB (1 thanh 12GB),DDR5,512 ,15.6 inch,1920 x 1080 Pixels,144 ,NVIDIA,Geforce RTX 2050,2.38 kg,60 Wh,135 W
"Laptop Lenovo Gaming Legion 9 16IRX8 i9 13980HX/AI/64GB/2TB/16""3.2K Mini LED/RTX4090 16GB/Win11",128.990.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/lenovo-gaming-legion-9-16irx8-i9-13980hx,lenovo,data/laptop_html/lenovo+31.html,Intel,13980HX,2.2 ,64 GB (2 thanh 32 GB),DDR5,2 ,16 inch,3200 x 2000 Pixels,165 ,NVIDIA,GeForce RTX 4090,2.56 kg,99.9 Wh,330 W
"Laptop Lenovo ThinkPad E14 Gen 5 i7-1355U/16GB/512GB/14.0""WUXGA/Win 11",22.990.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/lenovo-thinkpad-e14-gen-5-i7-1355u,lenovo,data/laptop_html/lenovo+32.html,Intel,1355U,1.7 ,16 GB (2 thanh 8 GB),DDR4,512 ,14 inch,1920 x 1080 Pixels,60 ,Intel,Iris Xe,1.59 kg,3 Cell,45 W
"Laptop Lenovo ThinkBook 16 G6 IRL i5-13420H/16GB/512GB/16.0""WUXGA/Win 11",16.990.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/lenovo-thinkbook-16-g6-irl-i5-13420h-21kh00q0vn,lenovo,data/laptop_html/lenovo+33.html,Intel,13420H,2.1 ,16 GB (2 thanh 8 GB),DDR5,512 ,16 inch,1920 x 1200 Pixels,60 ,Intel,UHD,1.7 kg,71 Wh,100 W
"Laptop Lenovo Yoga Slim 7 14IMH9 ULTRA 7 155H/AI/32GB/1TB/14"" WUXGA/Win 11",29.490.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/lenovo-yoga-slim-7-14imh9-ultra-7-155h-32gb,lenovo,data/laptop_html/lenovo+34.html,Intel,155H,1.4 ,32 GB (1 thanh 32 GB),LPDDR5X,1 ,14 inch,1920 x 1200 Pixels,60 ,Intel,ARC,1.39 kg,65 Wh,65 W
"Laptop Lenovo Gaming Legion 7 - 16IRX9 i9 14900HX/AI/32GB/1TB/16"" 3.2K/RTX4070_8GB/Win 11",62.990.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/lenovo-gaming-legion-7-16irx9-i9-14900hx-83fd004mvn,lenovo,data/laptop_html/lenovo+35.html,Intel,14900HX,1.6 ,32 GB (2 thanh 16 GB),DDR5,1 ,16 inch,3200 x 2000 Pixels,165 ,NVIDIA,GeForce RTX 4070,2.24 kg,99.9 Wh,230 W
"Laptop Lenovo Gaming LOQ - 15IAX9 i5 12450HX/AI/16GB/512GB/15.6""FHD/RTX 2050 4GB/Win11",19.490.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/lenovo-gaming-loq-15iax-9-i5-12450hx,lenovo,data/laptop_html/lenovo+36.html,Intel,12450HX,2 ,16 GB (2 thanh 8 GB),DDR5,512 ,15.6 inch,1920 x 1080 Pixels,144 ,NVIDIA,Geforce RTX 2050,2.38 kg,60 Wh,135 W
"Laptop Lenovo Yoga 9 2in1 14IMH9 Ultra 7 155H/AI/16GB/1TB/14""2.8K_Touch/Bút/Win11_Xanh",45.990.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/lenovo-yoga-9-2in1-14imh9-ultra-7-155h,lenovo,data/laptop_html/lenovo+37.html,Intel,155H,1.4 ,16 GB (1 thanh 16 GB),LPDDR5X,1 ,14 inch,2880 x 1800 Pixels,120 ,Intel,ARC,1.32 kg,75 Wh,65 W
"Laptop Lenovo Gaming Legion 5 15IRX9 i7 13650HX/AI/24GB/512GB/15.6""FHD/RTX4060 8GB/Win11",36.990.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/lenovo-gaming-legion-5-15irx9-83jj000fvn,lenovo,data/laptop_html/lenovo+38.html,Intel,13650HX,1.9 ,24 GB (2 thanh 12GB),DDR5,512 ,15.6 inch,1920 x 1080 Pixels,144 ,NVIDIA,GeForce RTX 4060,2.32 kg,60 Wh,230 W
"Laptop Lenovo Gaming LOQ - 15IAX9 i5 12450HX/AI/12GB/512GB/15.6""FHD/RTX2050 4GB/Win11",18.990.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/lenovo-gaming-loq-15iax9-i5-12450hx-83gs001svn,lenovo,data/laptop_html/lenovo+39.html,Intel,12450HX,NA,12 GB (1 thanh 12GB),DDR5,512 ,15.6 inch,1920 x 1080 Pixels,144 ,NVIDIA,Geforce RTX 2050,2.38 kg,60 Wh,135 W
"Laptop Lenovo Ideapad Slim 3 - 15ABR8 R7 7730U/16GB/512GB/15.6""FHD/Win 11",Hàng sắp về,https://fptshop.com.vn//may-tinh-xach-tay/lenovo-ideapad-slim-3-15abr8-82xm00ehvn,lenovo,data/laptop_html/lenovo+40.html,AMD,7730U,2 ,16 GB (2 thanh 16 GB),DDR4,512 ,15.3 inch,1920 x 1200 Pixels,60 ,AMD,Radeon,1.62 kg,47 Wh,65 W
"Laptop Slim 5 - 14IMH9 Ultra7 155H/AI/32GB/512GB/14""WUXGA OLED/Arc Graphics/Win11",Hàng sắp về,https://fptshop.com.vn//may-tinh-xach-tay/lenovo-ideapad-slim-5-14imh-83da001yvn,lenovo,data/laptop_html/lenovo+41.html,Intel,155H,1.4 ,32 GB (2 thanh 16 GB),LPDDR5,512 ,14 inch,1920 x 1200 Pixels,60 ,Intel,ARC,1.48 kg,57 Wh,65 W
"Laptop Lenovo Gaming LOQ 15IRX9 i7-13650HX/AI/24GB/512GB/15.6""FHD/RTX4060 8GB/Win11",Hàng sắp về,https://fptshop.com.vn//may-tinh-xach-tay/lenovo-gaming-loq-15irx9-i7-13650hx-83dv00ufvn,lenovo,data/laptop_html/lenovo+42.html,Intel,13650HX,2.6 ,24 GB (2 thanh 12GB),DDR5,512 ,15.6 inch,1920 x 1080 Pixels,144 ,NVIDIA,GeForce RTX 4060,2.38 kg,60 WHrs,230 W
"Laptop Lenovo IdeaPad 1 15ALC7 R5 5625U/16GB/512GB/15.6"" FHD/AMD Radeon Graphics/Win 11",Hàng sắp về,https://fptshop.com.vn//may-tinh-xach-tay/lenovo-ideapad-1-15alc7-r5-5625u-82r400vwvn,lenovo,data/laptop_html/lenovo+43.html,AMD,5625U,2.3 ,16 GB,DDR4,512 ,15.6 inch,1920 x 1080 Pixels,0 ,AMD,Radeon,1.61 kg,42 Wh,65 W
"Laptop Lenovo Ideapad Slim 5 - 16IMH9 Ultra7 155H/AI/32GB/512GB/16""2K_OLED/Arc Graphics/Win11",Hàng sắp về,https://fptshop.com.vn//may-tinh-xach-tay/lenovo-ideapad-slim-5-16imh9-155h83dc001svn,lenovo,data/laptop_html/lenovo+44.html,Intel,155H,1.4 ,32 GB (2 thanh 16 GB),LPDDR5,512 ,16 inch,2048 x 1280 Pixels,120 ,Intel,ARC,1.82 kg,57 Wh,65 W
"Laptop Lenovo Ideapad Slim 5 - 15IRU9 CORE 5_120U/16GB/512GB/15.3""WUXGA/Win 11",Hàng sắp về,https://fptshop.com.vn//may-tinh-xach-tay/lenovo-ideapad-slim-5-15iru9-83d0000evn,lenovo,data/laptop_html/lenovo+45.html,Intel,120U,1.4 ,16 GB (2 thanh 16 GB),LPDDR5,512 ,15.3 inch,1920 x 1200 Pixels,60 ,Intel,NA,1.79 kg,57 Wh,65 W
"Laptop Lenovo IdeaPad Slim 5 14IMH9 Ultra5 125H/AI/16GB/1TB/14""WUXGA/OLED/Win11",Hàng sắp về,https://fptshop.com.vn//may-tinh-xach-tay/lenovo-ideapad-slim-5-14imh9-ultra5-125h,lenovo,data/laptop_html/lenovo+46.html,Intel,125H,2.1 ,16 GB (2 thanh 8 GB),DDR5,1 ,14 inch,1920 x 1200 Pixels,60 ,Intel,ARC,1.48 kg,57 Wh,65 W
"Laptop Acer Gaming Aspire 5 A515-58GM-53CM i5 13420H/32GB/512GB/15.6""FHD/RTX2050 4GB/Win11",17.490.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/acer-gaming-aspire-5-a515-58g-53cm-i5-13420h,acer,data/laptop_html/acer+0.html,Intel,13420H,3.4 ,32 GB,DDR4,512 ,15.6 inch,FHD (1920 x 1080),144 ,NA,NA,1.7 kg,50 Wh,NA
"Laptop Acer Gaming Aspire 5 A515-58GM-53PZ i5 13420H/8GB/512GB/15.6""FHD/RTX2050 4GB/Win11",15.490.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/acer-gaming-aspire-5-a515-58gm-53pz-i5-13420h,acer,data/laptop_html/acer+1.html,Intel,13420H,3.4 ,8 GB,DDR4,512 ,15.6 inch,1920 x 1080 Pixels,60 ,NA,NA,1.7 kg,50 Wh,NA
Máy tính xách tay Acer Gaming Aspire 5 A515-58GM-51LB i5 13420H/16GB/512GB/RTX2050 4GB/Win11_Xám,16.490.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/acer-aspire-5-a515-58gm-51lb-i5-13420h,acer,data/laptop_html/acer+2.html,Intel,13420H,3.4 ,16 GB,DDR4,512 ,15.6 inch,1920 x 1080 Pixels,60 ,NVIDIA,NA,1.7 kg,60 Wh,170 W
"Laptop Acer Aspire Lite AL16-51P-55N7 i5 1235U/16GB/512GB/16"" WUXGA/Win11",13.490.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/acer-aspire-lite-al16-51p-55n7,acer,data/laptop_html/acer+3.html,Intel,1235U,3.3 ,16 GB,DDR5,512 ,16 inch,1920 x 1200 Pixels,60 ,NA,NA,1.7 kg,76 Whr,NA
"Laptop Acer Nitro 5 Tiger Gaming AN515-58-5193 i5 12450H/16GB/512GB/15.6""FHD/NVIDIA GeForce RTX4050 6GB/Win11",19.990.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/acer-nitro-5-tiger-gaming-an515-58-5193-i5-12450h,acer,data/laptop_html/acer+4.html,Intel,12450H,NA,16 GB (2 thanh 8 GB),DDR5,512 ,15.6 inch,1920 x 1200 Pixels,144 ,NA,NA,2.5 kg,4 Cell,NA
"Laptop Acer Aspire 7 Gaming A715-76G-73FM i7 12650H/16GB/512GB/15.6""FHD/RTX2050 4GB/Win11",17.790.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/acer-aspire-7-gaming-a715-76g-73fm-i7-12650h,acer,data/laptop_html/acer+5.html,Intel,12650H,2.3 ,16 GB (2 thanh 8 GB),DDR4,512 ,15.6 inch,1920 x 1080 Pixels,144 ,Intel,UHD,2.1 kg,NA,NA
"Laptop Acer Aspire 7 A715-76-53PJ i5 12450H/16GB/512GB/15.6""FHD/Win11",13.990.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/laptop-acer-aspire-7-a715-76-53pj-i5-12450h,acer,data/laptop_html/acer+6.html,Intel,12450H,2 ,16 GB (2 thanh 8 GB),DDR4,512 ,15.6 inch,FHD (1920 x 1080),60 Hz,Intel,UHD,2.1 kg,50 Wh,NA
Laptop Acer Swift X SFX16-51G-516Q i5 11320H/16GB/512GB/16.1'FHD/Nvidia RTX3050 4GB/Win11,15.990.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/acer-swift-x-sfx16-51g-516q-i5-11320h,acer,data/laptop_html/acer+7.html,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laptop Acer Nitro 5 Tiger Gaming AN515-58-773Y i7 12700H/16GB/512GB/15.6""FHD/NVIDIA GeForce RTX3050Ti 4GB/Win11",22.990.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/acer-nitro-5-tiger-gaming-an515-58-773y-i7-12700h,acer,data/laptop_html/acer+8.html,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laptop Acer Aspire 7 Gaming A715-76G-59MW i5 12450H/8GB/512GB/15.6""FHD/Nvidia RTX2050 4GB/Win11",15.690.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/acer-aspire-7-a715-76g-59mw-i5-12450h,acer,data/laptop_html/acer+9.html,Intel,12450H,3.3 ,8 GB (1 thanh 8 GB),DDR4,512 ,15.6 inch,FHD (1920 x 1080),144 ,NVIDIA,Geforce RTX 2050,2.1 kg,50 Wh,NA
"Laptop Acer Aspire Lite 16 AL16-51P-72S2 i7 1255U/16GB/512GB/16""FHD/Win11",15.490.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/acer-aspire-lite-16-al16-51p-72s2-i7-1255u,acer,data/laptop_html/acer+10.html,Intel,1255U,3.5 ,16 GB (1 thanh 16 GB),DDR5,512 ,16 inch,1920 x 1200 Pixels,60 ,NA,NA,1.8 kg,3 Cell,NA
"Laptop Acer Swift 3 SF314-512-741L i7 1260P/16GB/1T/14"" QHD/Win11",18.490.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/acer-swift-3-sf314-512-741l-i7-1260p,acer,data/laptop_html/acer+11.html,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laptop Acer Aspire 3 A315-44P-R5QG R7 5700U/16GB/512GB/15.6""FHD/Win11",11.990.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/acer-aspire-3-a315-44p-r5qg-r7-5700u,acer,data/laptop_html/acer+12.html,AMD,5700U,1.8 ,16 GB,DDR4,512 ,15.6 inch,1920 x 1080 Pixels,60 ,NA,NA,1.7 kg,3 Cell,NA
"Laptop Acer Aspire Go AG15-31P-32U6 i3 N305/8GB/512GB/15.6"" FHD/Win11",9.290.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/acer-aspire-go-ag15-31p-32u6-i3-n305,acer,data/laptop_html/acer+13.html,Intel,N305,1.8 ,8 GB (1 thanh 8 GB),LPDDR5,512 ,15.6 inch,FHD (1920 x 1080),60 ,NA,NA,1.75 kg,57 Wh,65 W
Laptop Acer Nitro 5 Tiger Gaming AN515-58-52SP i5 12500H/8GB/512GB SSD/GeForce RTX 3050 4GB/Win11,17.490.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/acer-nitro-gaming-an515-58-52sp-i5-12500h,acer,data/laptop_html/acer+14.html,Intel,12500H,3.3 Ghz,8 GB (1 thanh 8 GB),DDR4,512 GB,15.6 inch,1920 x 1080 Pixels,144 Hz,NVIDIA,GeForce RTX 3050,2.5 kg,4 Cell,57.5 W
"Laptop Acer Nitro 16 Phoenix Gaming AN16-41-R50Z R5 7640HS/16GB/512GB/16""WUXGA//Nvidia Geforce RTX4050 6GB/Win11",22.490.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/acer-nitro-16-phoenix-gaming-an16-41-r50z-r5-7640hs,acer,data/laptop_html/acer+15.html,AMD,7640HS,NA,16 GB,DDR5,512 ,16 inch,1920 x 1200 Pixels,165 ,NVIDIA,Radeon,2.7 kg,4 Cell,90 W
Laptop Acer Aspire 7 Gaming A715-76G-5806 i5 12450H/16GB/512GB/NVIDIA RTX3050 4GB/Win11,18.490.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/acer-aspire-7-gaming-a715-76g-5806-i5-12450h,acer,data/laptop_html/acer+16.html,Intel,12450H,3.30 Ghz,16 GB (2 thanh 8 GB),DDR4,512 GB,15.6 inch,1920 x 1080 Pixels,144 Hz,NVIDIA,GeForce RTX 3050,2.1 kg,50 Giờ,NA
"Laptop Acer Nitro V Gaming ANV15-51-53NE i5 13420H/16GB/512GB/15.6""FHD/RTX2050 4GB/Win11",17.690.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/acer-nitro-v-gaming-anv15-51-53ne-i5-13420h,acer,data/laptop_html/acer+17.html,Intel,13420H,NA,16 GB,DDR5,512 ,15.6 inch,FHD (1920 x 1080),144 ,NA,NA,2.1 kg,NA,NA
" Laptop Acer Aspire 5 A515-58M-56YX i5 13420H/16GB/512GB/15.6""FHD/Win11",14.690.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/acer-aspire-5-a515-58m-56yx-i5-13420h,acer,data/laptop_html/acer+18.html,Intel,13420H,3.4 ,16 GB (1 thanh 16 GB),DDR4,512 ,15.6 inch,1920 x 1080 Pixels,60 ,Intel,UHD,2.87 kg,NA,NA
"Laptop Acer Swift Go SFG14-41-R19Z R5 7530U/16GB/512GB/14""FHD/Win11",15.790.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/acer-swift-go-sfg14-41-r19z-r5-7530u,acer,data/laptop_html/acer+19.html,AMD,7530U,2 ,16 GB,DDR4,512 ,14 inch,FHD (1920 x 1080),60 Hz,AMD,Radeon,1.2 kg,3 Cell,NA
"Laptop Acer Swift Go AI SFG14-73-53X7 Intel Core Ultra 5 125H/16GB/512GB/14"" 2.8K/Intel Arc Graphics/Win11",22.990.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/acer-swift-so-ai-sfg14-73-53x7-ultra-5-125h,acer,data/laptop_html/acer+20.html,Intel,125H,3.6 ,16 GB (1 thanh 16 GB),LPDDR5X,512 ,14 inch,2880 x 1800 Pixels,60 ,Intel,ARC,1.32 kg,65 Wh,65 W
"Laptop Acer Aspire 7 Gaming A715-76G-55T6 i5 12450H/16GB/512GB/15.6""FHD/Nvidia RTX2050 4GB/Win11",15.490.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/acer-aspire-7-gaming-a715-76g-55t6-i5-12450h,acer,data/laptop_html/acer+21.html,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Laptop Acer Swift Lite 14 AI SFL14-51M-56HS Ultra5 125U/16GB/512GB/Win11,18.190.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/acer-swift-lite-14-ai-sfl14-51m-56hs-u5-125u,acer,data/laptop_html/acer+22.html,Intel,125U,3.6 ,16 GB (2 thanh 8 GB),DDR5,512 ,14 inch,1920 x 1200 Pixels,60 ,NA,NA,1.27 kg,3 Cell,NA
"Laptop Acer Aspire Lite AL16-51P-596H i5 1235U/8GB/512GB/16""WUXGA/Win11",12.490.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/acer-aspire-lite-al16-51p-596h-i5-1235u,acer,data/laptop_html/acer+23.html,Intel,1235U,3.3 ,8 GB,DDR5,512 ,16 inch,1920 x 1200 Pixels,60 ,NA,NA,1.8 kg,NA,NA
"Laptop Acer Aspire 3 A315-510P-34XZ i3 N305/8GB/512GB/15.6""FHD/Win11",8.490.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/acer-aspire-3-a315-510p-34xz-i3-n305,acer,data/laptop_html/acer+24.html,Intel,N305,0.9 ,8 GB,LPDDR5,512 ,15.6 inch,1920 x 1080 Pixels,60 ,NA,NA,1.7 kg,40 Wh,NA
"Laptop Acer Aspire 3 A315-59-51X8 i5 1235U/8GB/512GB/15.6""FHD/Win11",9.690.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/acer-aspire-3-a315-59-51x8-i5-1235u,acer,data/laptop_html/acer+25.html,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Laptop Acer Aspire 3 A315-58-53S6 i5 1135G7/8GB/256GB/15.6""FHD/Win 11",8.690.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/acer-aspire-3-a315-58-53s6-i5-1135g7,acer,data/laptop_html/acer+26.html,Intel,1135G7,2.4 Ghz,8 GB (2 thanh 4 GB),DDR4,256 GB,15.6 inch,1920 x 1080 Pixels,60 Hz,Intel,UHD,1.7 kg,2 Cell,36.7 W
"Laptop Acer Swift Edge SFA16-41-R3L6 R7 6800U/16GB/1TB/16"" WQUXGA/Win11",20.990.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/acer-swift-edge-sfa16-41-r3l6-r7-6800u,acer,data/laptop_html/acer+27.html,AMD,6800H,2.70 Ghz,16 GB (1 thanh 16 GB),LPDDR5,1 TB,16.0 inch,3840 x 2400 Pixels Màn hình chính:,60 Hz,AMD,Radeon,1.1 kg,54 Wh,NA
"Laptop Acer Aspire Lite AL15-51M-55NB i5-1155G7/8GB/512GB/15.6""FHD/Win11",10.990.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/acer-aspire-lite-al15-51m-55nb-i5-1155g7,acer,data/laptop_html/acer+28.html,Intel,1155G7,1 ,8 GB,DDR4,512 ,15.6 inch,1920 x 1080 Pixels,60 ,NA,NA,1.7 kg,36 Wh,NA
"Laptop Acer Nitro V Gaming ANV15-51-55CA i5 13420H/16GB/512GB/15.6""FHD/Nvidia RTX4050 6GB/Win11",24.490.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/acer-nitro-v-gaming-anv15-51-55ca-i5-13420h,acer,data/laptop_html/acer+29.html,Intel,13420H,3.4 ,16 GB (2 thanh 8 GB),LPDDR5,512 ,15.6 inch,FHD (1920 x 1080),144 Hz,NVIDIA,GeForce RTX 4050,2.1 kg,57 Wh,NA
"Laptop Acer Gaming Predator Helios Neo 14 PHN14-51-99Y8 Intel Core Ultra 9 185H/AI/32GB/1TB/14.5"" WQXGA+/Nvidia RTX4060 8GB/Win11",46.890.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/acer-predator-helios-neo-14-phn14-51-99y8-u9-185h,acer,data/laptop_html/acer+30.html,Intel,185H,2.3 ,32 GB,LPDDR5X,1 ,14.5 inch,3072 x 1920 Pixels,165 ,NA,NA,1.9 kg,NA,NA
